Date (HST),Inclination angle (degrees),Distance (km),Ht above vent elevation (m)
1/10/2013 9:05,11,2.11,615
1/11/2013 9:25,25,1.77,1030
1/16/2013 9:00,24,1.55,895
1/23/2013 14:50,10,2.01,559
1/30/2013 10:30,28,2.6,1587
2/4/2013 13:30,6,2.96,516
2/6/2013 9:15,11,2.22,637
2/8/2013 9:05,8,2.79,597
2/12/2013 9:15,5,2.78,448
2/13/2013 9:10,5,2.25,402
2/14/2013 9:45,8,2.79,597
2/19/2013 14:05,5,2.83,453
3/12/2013 9:30,32,1.48,1130
3/13/2013 9:25,12,1.8,588
3/21/2013 10:00,30,1.37,996
3/22/2013 9:10,40,1.89,1791
4/11/2013 9:45,23,1.61,888
4/15/2013 9:50,16,1.36,595
4/16/2013 9:00,26.5,1.42,913
5/17/2013 9:20,15,0.6,366
6/5/2013 11:52,10,1.46,462
6/7/2013 12:50,10,1.96,551
6/10/2013 10:10,13,2.13,697
6/11/2013 8:45,9,2.3,569
6/13/2013 9:10,14,2.25,766
6/14/2013 9:00,21,2.65,1222
6/17/2013 17:00,7,1.91,440
6/18/2013 10:50,17,2.16,865
6/19/2013 15:13,9,2.47,596
6/24/2013 13:17,22,2.01,1017
6/25/2013 8:45,16,2.09,804
6/27/2013 12:10,14,2.1,729
6/28/2013 11:45,16,2.78,1002
7/2/2013 10:20,13,2.3,736
7/5/2013 12:48,48,1.7,2093
7/8/2013 11:30,19,2.8,1169
7/9/2013 10:55,12,2.45,726
7/10/2013 16:50,5,2.77,447
7/11/2013 9:30,7,2.26,482
7/11/2013 11:50,9,2.47,596
7/16/2013 16:38,13,2.51,784
7/17/2013 11:49,18,2.74,1095
7/18/2013 9:05,18,1.98,848
7/23/2013 14:25,5,2.42,417
7/24/2013 10:10,1,2.08,241
7/25/2013 10:15,10,2.25,602
7/26/2013 9:35,14,1.97,696
7/30/2013 16:18,4,2.05,348
7/31/2013 11:43,4,2.5,380
8/1/2013 13:50,11,2.87,763
8/2/2013 14:53,8,2.08,497
8/5/2013 13:40,7,2.39,498
8/8/2013 11:30,14,1.96,694
8/12/2013 8:53,4,2.34,369
8/12/2013 11:50,8,2.3,528
8/13/2013 16:00,5,2.66,438
8/15/2013 14:17,10,2.33,616
8/27/2013 15:40,15,2.68,923
8/28/2013 9:05,20,2.9,1261
8/28/2013 11:37,19,2.87,1193
8/29/2013 11:35,17,2.45,954
8/30/2013 13:40,19,2.75,1152
9/4/2013 12:10,25,2.72,1473
9/5/2013 10:25,30,2.09,1412
9/6/2013 11:25,33,2.03,1523
9/9/2013 12:44,5,2.22,399
9/10/2013 11:15,11,2.58,707
9/11/2013 11:26,8,2.23,518
9/12/2013 11:38,12,2.38,711
9/13/2013 9:15,10,2.27,605
9/13/2013 11:30,12,2.43,722
9/16/2013 11:50,10,2.13,581
9/17/2013 12:30,10,2.05,566
9/18/2013 10:00,24,2.54,1336
9/19/2013 13:00,12,2.52,741
9/23/2013 12:30,3,2.09,315
9/24/2013 10:35,11,2.17,627
9/25/2013 13:15,17,2.29,905
9/26/2013 10:40,12,2.14,660
9/27/2013 11:30,12,2.73,785
9/30/2013 10:30,25,2.33,1291
10/17/2013 12:00,25,2.3,1278
10/23/2013 11:10,25,2.25,1254
10/24/2013 12:00,20,2.56,1137
10/28/2013 16:40,6,2.49,467
10/29/2013 12:30,25,2.42,1333
3/17/2014 9:35,7,2.5,512
3/18/2014 8:40,20,2.2,1006
3/19/2014 8:51,52,2.2,3021
3/19/2014 9:47,42,1.9,1916
3/19/2014 9:50,54,1,1581
3/20/2014 10:00,32,2.2,1580
3/24/2014 8:45,10,2.6,663
3/25/2014 8:45,9,2.5,601
3/25/2014 10:45,12,2.5,736
3/26/2014 13:30,16,1.8,721
3/27/2014 8:25,20,2.5,1115
3/28/2014 9:10,25,1.9,1091
3/31/2014 8:25,12,2.5,736
3/31/2014 9:35,15,2.75,942
4/2/2014 8:30,9,2.7,633
4/3/2014 9:35,5,2.3,406
4/7/2014 8:50,12,2,630
4/8/2014 14:40,5,2.5,424
4/9/2014 13:20,10,2.3,611
4/11/2014 8:45,11,2,594
4/14/2014 10:10,15,2.5,875
4/15/2014 9:35,9,2,522
4/16/2014 10:45,8,2.3,528
4/17/2014 9:10,10,1.9,540
4/18/2014 10:50,10,2.5,646
4/21/2014 11:35,4,2.2,359
4/22/2014 10:20,12,2.2,673
4/24/2014 11:35,3,0.5,231
4/25/2014 12:00,8,2,486
4/28/2014 11:20,35,0.3,415
4/29/2014 10:35,25,0.2,298
4/30/2014 11:55,15,2.4,848
5/2/2014 9:30,15,2.3,821
5/5/2014 9:40,30,2.2,1475
5/6/2014 12:15,21,2.5,1165
5/7/2014 10:40,17,2.5,969
5/8/2014 9:55,38,1.9,1689
5/9/2014 11:00,45,1.7,1905
5/12/2014 12:30,10,2.5,646
5/13/2014 11:20,25,1.3,811
5/14/2014 10:40,15,1.5,607
5/15/2014 13:40,11,1.9,574
5/16/2014 10:40,17,2.2,878
5/19/2014 12:30,14,2,704
5/20/2014 9:30,25,2.5,1371
5/21/2014 9:25,26,1.3,839
5/22/2014 12:30,10,1.9,540
5/23/2014 9:00,7,2.3,487
5/27/2014 9:35,8,2.5,556
5/28/2014 11:00,9,2.6,617
5/29/2014 10:30,11,2.7,730
5/30/2014 11:40,11,2.5,691
6/2/2014 11:30,5,2.7,441
6/3/2014 10:40,17,2,816
6/4/2014 11:40,4,2.2,359
6/5/2014 13:50,10,2.5,646
6/6/2014 11:00,9,2.5,601
6/9/2014 16:00,10,2.7,681
6/11/2014 8:45,17,2.7,1030
6/12/2014 11:15,5,2.5,424
6/16/2014 17:15,9,2.7,633
6/17/2014 12:40,8,2.5,556
6/18/2014 10:40,12,2.8,800
6/19/2014 9:50,7,2.5,512
6/20/2014 13:35,4,2.6,387
6/23/2014 9:45,11,2.6,710
6/24/2014 13:25,7,2.7,537
6/25/2014 9:45,10,2.5,646
6/26/2014 11:00,12,2.6,758
6/27/2014 13:45,18,2.6,1050
6/30/2014 12:00,5,2.6,432
7/11/2014 10:45,8,2.8,599
7/16/2014 10:15,5,2.9,459
7/18/2014 9:00,12,3.8,1013
7/22/2014 9:05,6,2.6,478
7/24/2014 14:53,8,2.9,613
7/25/2014 8:45,11,2.6,710
7/30/2014 10:00,10,3.3,787
7/31/2014 10:45,6,2.5,468
8/11/2014 8:45,16,3.5,1209
8/19/2014 8:50,8,3,627
8/20/2014 9:30,53,2.4,3390
8/28/2014 9:00,20,2.8,1224
8/29/2014 9:15,10,2.7,681
9/5/2014 9:15,22,3.2,1498
3/30/2015 11:38,15,2.5,875
4/1/2015 10:00,11,2.4,672
4/2/2015 9:20,16,2.5,922
4/3/2015 12:45,21,2.6,1203
4/6/2015 12:45,9,2.7,633
4/7/2015 11:08,6,2.5,468
4/10/2015 10:00,14,2.6,853
4/13/2015 10:00,9,2.2,553
4/20/2015 12:58,6,2.5,468
4/22/2015 15:32,19,1.7,790
4/23/2015 14:10,7,2.3,487
