Date (HST),Inclination angle (degrees),Distance (km),Ht above vent elevation (m)
10/9/2008 8:06,17,1.97,806
10/9/2008 16:08,14,2.05,716
10/10/2008 13:01,8,1.75,450
10/10/2008 16:29,8.5,2.06,513
10/16/2008 11:38,8,2.11,501
10/16/2008 16:08,4,2.1,352
10/17/2008 15:03,11,1.99,592
10/20/2008 8:30,21,2.02,982
10/20/2008 15:26,9,1.56,451
10/21/2008 13:16,9.5,1.74,496
10/22/2008 8:24,10,1.99,556
10/22/2008 15:47,8.5,2.14,525
10/23/2008 8:31,10.5,2.07,588
10/23/2008 16:03,9,2.07,532
10/24/2008 8:10,9,2.03,527
10/24/2008 16:01,13.5,1.94,670
10/28/2008 9:55,17,1.42,639
10/28/2008 16:14,9.5,1.66,483
10/29/2008 11:39,8.5,2.19,532
10/29/2008 16:24,9,2.2,553
10/30/2008 8:45,10,2.23,598
10/30/2008 14:35,15.5,2.05,773
10/31/2008 8:15,16.5,2.17,846
10/31/2008 15:47,18,2.15,903
11/3/2008 11:25,8,2.03,490
11/3/2008 17:16,12.5,2.01,651
11/4/2008 7:50,9.5,2.22,576
11/4/2008 16:43,19.5,2.04,928
11/5/2008 8:45,11,2.03,600
11/5/2008 16:38,13,2.16,704
11/6/2008 7:33,6,1.94,408
11/6/2008 16:38,9.5,2.01,541
11/7/2008 9:03,11,1.98,590
11/10/2008 9:35,14.5,2.19,771
11/10/2008 16:21,12,2.08,648
11/12/2008 8:56,29,1.94,1281
11/13/2008 11:33,35,0.82,780
11/14/2008 8:19,48,0.36,608
11/17/2008 8:45,14,2.17,745
11/17/2008 16:49,7.5,2.11,482
11/18/2008 8:20,2,1.84,269
11/18/2008 16:03,8,2.09,499
11/19/2008 8:58,10,2.39,626
11/19/2008 16:41,13.5,2.14,719
11/20/2008 10:38,21.5,2.09,1029
11/20/2008 16:31,31,1.47,1087
11/21/2008 15:25,19,1.42,694
11/24/2008 8:32,8.5,2.17,529
